id,pk,slug,name,nickname,date_of_birth,height_centimeters,reach_inches,leg_reach_inches,fighting_style,stance,nationality
RmlnaHRlck5vZGU6MTM4NDU=,13845,arnold-adams-13845,Arnold Adams,,1985-07-09,190.5,,,,,United States
RmlnaHRlck5vZGU6MTM5NTg=,13958,warren-thompson-13958,Warren Thompson,Destroyer,1985-12-12,188.0,,,,,United States
RmlnaHRlck5vZGU6MTMyMw==,1323,antonio-silva-1323,Antonio Silva,Bigfoot,1979-09-14,194.0,83.0,,Striker / BJJ Grappler,Orthodox,Brazil
RmlnaHRlck5vZGU6MTQ0MQ==,1441,alexey-oleinik-1441,Alexey Oleinik,The Boa Constrictor,1977-06-25,187.0,80.0,45.0,Grappler,Orthodox,Russia
RmlnaHRlck5vZGU6MTQ0NDE=,14441,franco-tenaglia-14441,Franco Tenaglia,El Rey de la Calle,,175.0,,,,,Argentina
RmlnaHRlck5vZGU6MTQ1MzY=,14536,veselin-ivanov-14536,Veselin Ivanov,The Madman,,168.0,,,,,"
Bulgaria
"
RmlnaHRlck5vZGU6MTQ1Nzg=,14578,nolan-mclaughlin-14578,Nolan McLaughlin,,,182.9,,,,,United States
RmlnaHRlck5vZGU6MTQ1OTI=,14592,katharina-lehner-14592,Katharina Lehner,The German Gypsy,1990-04-09,165.1,67.0,,,,Germany
RmlnaHRlck5vZGU6MTQ2Njc=,14667,mike-lee-14667,Mike Lee,,1977-11-30,180.3,,,,,United States
RmlnaHRlck5vZGU6MTQ3MDA=,14700,jay-jackson-14700,Jay Jackson,Action,1989-07-05,180.3,75.2,,,,United States
RmlnaHRlck5vZGU6MTQ4OTY=,14896,rosen-dimitrov-14896,Rosen Dimitrov,,1982-05-10,175.3,,,,,Bulgaria
RmlnaHRlck5vZGU6MTQ5Mw==,1493,brandon-girtz-1493,Brandon Girtz,,1985-03-06,170.2,69.0,,Wrestler,Southpaw,United States
RmlnaHRlck5vZGU6MTQyNTI=,14252,heather-hardy-14252,Heather Hardy,The Heat,1982-01-25,165.0,64.0,,,,United States
RmlnaHRlck5vZGU6MTQzMzI=,14332,christine-ferea-14332,Christine Ferea,Misfit,1982-09-10,165.1,,,,,United States
RmlnaHRlck5vZGU6MTU0MzY=,15436,jordan-pedreia-15436,Jordan Pedreia,,,,,,,,"
N/A
"
RmlnaHRlck5vZGU6MTU0NDA=,15440,linc-battee-15440,Linc Battee,Bulldog,1982-09-11,178.0,,,,,"Tiptonville, Tennessee, United States"
RmlnaHRlck5vZGU6MTU1MA==,1550,chris-cisneros-1550,Chris Cisneros,The Maverick,1979-12-24,181.0,68.5,,,,United States
RmlnaHRlck5vZGU6MTU3MTQ=,15714,jc-llamas-15714,JC Llamas,The Leg Lock Monster,1984-12-18,175.0,72.0,,,,United States
