id,pk,slug,event_id,fighter_1_id,fighter_2_id,winner_id,bout_type,weight_class,weight_lbs,outcome_method,outcome_method_details,end_round,end_round_time,fighter_1_odds,fighter_2_odds,is_cancelled
RmlnaHROb2RlOjczOTE1,73915,travis-thompson-vs-ivan-rocka-73915,RXZlbnROb2RlOjMxODI=,RmlnaHRlck5vZGU6MzUxOTQ=,RmlnaHRlck5vZGU6NzUwNDg=,RmlnaHRlck5vZGU6MzUxOTQ=,MC,,,KO/TKO,,2.0,1:59,,,0
RmlnaHROb2RlOjczOTE2,73916,sergio-herrera-vs-jesus-quevedo-73916,RXZlbnROb2RlOjMxODI=,RmlnaHRlck5vZGU6MzUxOTY=,RmlnaHRlck5vZGU6MzUxOTc=,RmlnaHRlck5vZGU6MzUxOTY=,PL,Bantamweight,135.0,KO/TKO,,4.0,Roun,,,0
RmlnaHROb2RlOjY4Njkz,68693,isaac-vallie-flagg-vs-randy-hedderick-68693,RXZlbnROb2RlOjMxODE=,RmlnaHRlck5vZGU6MTM3Nw==,RmlnaHRlck5vZGU6MjA5MDc=,RmlnaHRlck5vZGU6MTM3Nw==,MC,Catchweight,165.0,KO/TKO,,3.0,1:22,,,0
RmlnaHROb2RlOjY4Njky,68692,reginald-barnett-jr-vs-rusty-crowder-68692,RXZlbnROb2RlOjMxODE=,RmlnaHRlck5vZGU6MjA2NjQ=,RmlnaHRlck5vZGU6NzQwNQ==,RmlnaHRlck5vZGU6MjA2NjQ=,MC,Bantamweight,135.0,Decision,Unanimous,5.0,5:00,,,0
RmlnaHROb2RlOjY4Njg5,68689,harris-stephenson-vs-kaleb-harris-68689,RXZlbnROb2RlOjMxODE=,RmlnaHRlck5vZGU6MTk4MTk=,RmlnaHRlck5vZGU6MzUyMDA=,RmlnaHRlck5vZGU6MTk4MTk=,CO,Catchweight,165.0,Decision,Split,5.0,5:00,,,0
RmlnaHROb2RlOjY4Njkx,68691,sam-shewmaker-vs-chase-sherman-68691,RXZlbnROb2RlOjMxODE=,RmlnaHRlck5vZGU6MzUxODI=,RmlnaHRlck5vZGU6ODE5Mg==,RmlnaHRlck5vZGU6MzUxODI=,MC,,,Ends in a Draw,Split,5.0,5:00,,,0
RmlnaHROb2RlOjY4Njkw,68690,christine-ferea-vs-britain-hart-68690,RXZlbnROb2RlOjMxODE=,RmlnaHRlck5vZGU6MTQzMzI=,RmlnaHRlck5vZGU6MzUxODE=,RmlnaHRlck5vZGU6MTQzMzI=,MC,Flyweight,126.0,KO/TKO,Doctor Stoppage,2.0,1:09,,,0
RmlnaHROb2RlOjMyMjk2,32296,chris-leben-vs-justin-baesman-32296,RXZlbnROb2RlOjMxODE=,RmlnaHRlck5vZGU6NzMx,RmlnaHRlck5vZGU6MTgzNw==,RmlnaHRlck5vZGU6NzMx,MC,Light Heavyweight,205.0,KO/TKO,,1.0,0:25,,,0
RmlnaHROb2RlOjMyMjk3,32297,johnny-bedford-vs-abdiel-velazquez-32297,RXZlbnROb2RlOjMxODE=,RmlnaHRlck5vZGU6OTYy,RmlnaHRlck5vZGU6OTExNQ==,RmlnaHRlck5vZGU6OTYy,MC,Bantamweight,135.0,KO/TKO,,4.0,0:15,,,0
RmlnaHROb2RlOjMyMjk1,32295,artem-lobov-vs-jason-knight-32295,RXZlbnROb2RlOjMxODE=,RmlnaHRlck5vZGU6MzYxOA==,RmlnaHRlck5vZGU6Nzg1OA==,RmlnaHRlck5vZGU6MzYxOA==,ME,Catchweight,147.0,Decision,Unanimous,5.0,5:00,,,0
