id,bout_id,sportsbook_id,outcome_1_id,fighter_1_odds_open,fighter_1_odds_worst,fighter_1_odds_current,fighter_1_odds_best,outcome_2_id,fighter_2_odds_open,fighter_2_odds_worst,fighter_2_odds_current,fighter_2_odds_best
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDA5ODA4OTQ=,RmlnaHROb2RlOjM3MDI5,U3BvcnRzYm9va05vZGU6MTA=,T3V0Y29tZU5vZGU6MTk4ODUxOQ==,-350.0,-800.0,-800.0,-350.0,T3V0Y29tZU5vZGU6MTk4ODUxOA==,275.0,275.0,500.0,500.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDA5OTAzODc=,RmlnaHROb2RlOjM3MDI5,U3BvcnRzYm9va05vZGU6MjE=,T3V0Y29tZU5vZGU6MjAwNTg1Nw==,-700.0,-700.0,-700.0,-700.0,T3V0Y29tZU5vZGU6MjAwNTg1Ng==,450.0,450.0,450.0,450.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDA5ODA4OTc=,RmlnaHROb2RlOjM2OTg1,U3BvcnRzYm9va05vZGU6MTA=,T3V0Y29tZU5vZGU6MTk4ODUyNQ==,-285.0,-450.0,-450.0,-285.0,T3V0Y29tZU5vZGU6MTk4ODUyNA==,225.0,225.0,350.0,350.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDA5OTAzODQ=,RmlnaHROb2RlOjM2OTg1,U3BvcnRzYm9va05vZGU6MjE=,T3V0Y29tZU5vZGU6MjAwNTg1MQ==,-360.0,-360.0,-360.0,-360.0,T3V0Y29tZU5vZGU6MjAwNTg1MA==,285.0,285.0,285.0,285.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDA5OTAxMzc=,RmlnaHROb2RlOjM2OTg1,U3BvcnRzYm9va05vZGU6Mjc=,T3V0Y29tZU5vZGU6MjAwNTQ4Ng==,-333.0,-450.0,-450.0,-333.0,T3V0Y29tZU5vZGU6MjAwNTQ4Nw==,220.0,220.0,300.0,300.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDA5ODA4OTM=,RmlnaHROb2RlOjM2ODUx,U3BvcnRzYm9va05vZGU6MTA=,T3V0Y29tZU5vZGU6MTk4ODUxNg==,120.0,-120.0,-120.0,155.0,T3V0Y29tZU5vZGU6MTk4ODUxNw==,-150.0,-185.0,-110.0,-110.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDA5OTAzODg=,RmlnaHROb2RlOjM2ODUx,U3BvcnRzYm9va05vZGU6MjE=,T3V0Y29tZU5vZGU6MjAwNTg1OA==,130.0,130.0,130.0,130.0,T3V0Y29tZU5vZGU6MjAwNTg1OQ==,-160.0,-160.0,-160.0,-160.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDA5OTAxODA=,RmlnaHROb2RlOjM2ODUx,U3BvcnRzYm9va05vZGU6Mjc=,T3V0Y29tZU5vZGU6MjAwNTUzOA==,138.0,120.0,120.0,138.0,T3V0Y29tZU5vZGU6MjAwNTUzOQ==,-188.0,-188.0,-167.0,-167.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDA5OTAwNzI=,RmlnaHROb2RlOjM3MDMw,U3BvcnRzYm9va05vZGU6Mjc=,T3V0Y29tZU5vZGU6MjAwNTQwNA==,-105.0,-150.0,-150.0,-105.0,T3V0Y29tZU5vZGU6MjAwNTQwNQ==,-133.0,-133.0,110.0,110.0
T2ZmZXJUYWJsZU9mZmVyTm9kZToxMDA5OTAzMTc=,RmlnaHROb2RlOjM3MDMw,U3BvcnRzYm9va05vZGU6MjE=,T3V0Y29tZU5vZGU6MjAwNTcxNw==,155.0,155.0,155.0,155.0,T3V0Y29tZU5vZGU6MjAwNTcxNg==,-185.0,-185.0,-185.0,-185.0
