bout_id,offer_type_id,is_not,average_odds,fighter_pk,description,not_description
RmlnaHROb2RlOjYzMzc5,STRAIGHT,0,-154,42235.0,,
RmlnaHROb2RlOjYzMzc1,STRAIGHT,0,-287,1892.0,,
RmlnaHROb2RlOjYzMzc1,STRAIGHT,0,216,42228.0,,
RmlnaHROb2RlOjM3NTI3,STRAIGHT,0,-132,1608.0,,
RmlnaHROb2RlOjM3NTI3,STRAIGHT,0,100,1835.0,,
RmlnaHROb2RlOjM3NTI4,STRAIGHT,0,-462,2927.0,,
RmlnaHROb2RlOjM3NTI4,STRAIGHT,0,362,13571.0,,
RmlnaHROb2RlOjYyOTM0,STRAIGHT,0,-118,42840.0,,
RmlnaHROb2RlOjYyOTM0,STRAIGHT,0,-113,9051.0,,
RmlnaHROb2RlOjM3ODUz,STRAIGHT,0,165,6902.0,,
RmlnaHROb2RlOjM3ODUz,STRAIGHT,0,-205,1887.0,,
RmlnaHROb2RlOjM3NTI1,STRAIGHT,0,100,963.0,,
RmlnaHROb2RlOjM3NTI1,STRAIGHT,0,-126,13845.0,,
RmlnaHROb2RlOjYyOTMz,STRAIGHT,0,-154,42839.0,,
RmlnaHROb2RlOjYyOTMz,STRAIGHT,0,120,19816.0,,
RmlnaHROb2RlOjM3Nzcw,STRAIGHT,0,-210,1899.0,,
RmlnaHROb2RlOjM3Nzcw,STRAIGHT,0,166,35209.0,,
RmlnaHROb2RlOjM3ODIx,STRAIGHT,0,-164,35181.0,,
RmlnaHROb2RlOjM3ODIx,STRAIGHT,0,125,2783.0,,
RmlnaHROb2RlOjM3ODUx,STRAIGHT,0,347,90.0,,
RmlnaHROb2RlOjM3ODUx,STRAIGHT,0,-437,25484.0,,
RmlnaHROb2RlOjM3ODM1,STRAIGHT,0,180,9499.0,,
RmlnaHROb2RlOjM3ODM1,STRAIGHT,0,-233,978.0,,
RmlnaHROb2RlOjM3OTQ3,STRAIGHT,0,242,6931.0,,
RmlnaHROb2RlOjM3OTQ3,STRAIGHT,0,-323,1926.0,,
RmlnaHROb2RlOjM3OTk4,STRAIGHT,0,104,1260.0,,
RmlnaHROb2RlOjM3OTk4,STRAIGHT,0,-142,7772.0,,
RmlnaHROb2RlOjYyODQ5,STRAIGHT,0,437,36541.0,,
RmlnaHROb2RlOjYyODQ5,STRAIGHT,0,-760,33619.0,,
RmlnaHROb2RlOjYyODUw,STRAIGHT,0,-1443,11038.0,,
RmlnaHROb2RlOjYyODUw,STRAIGHT,0,750,43004.0,,
RmlnaHROb2RlOjYyODUx,STRAIGHT,0,-343,41267.0,,
RmlnaHROb2RlOjYyODUx,STRAIGHT,0,250,41429.0,,
RmlnaHROb2RlOjM4MzM3,STRAIGHT,0,163,13571.0,,
RmlnaHROb2RlOjM4MzM3,STRAIGHT,0,-205,1751.0,,
RmlnaHROb2RlOjM4MzAw,STRAIGHT,0,162,35214.0,,
RmlnaHROb2RlOjM4MzAw,STRAIGHT,0,-203,7374.0,,
RmlnaHROb2RlOjM4Mzgy,STRAIGHT,0,240,36949.0,,
RmlnaHROb2RlOjM4Mzgy,STRAIGHT,0,-300,7488.0,,
RmlnaHROb2RlOjM4MzQ3,STRAIGHT,0,-296,10893.0,,
RmlnaHROb2RlOjM4MzQ3,STRAIGHT,0,236,1835.0,,
RmlnaHROb2RlOjM4NjQx,STRAIGHT,0,-134,1899.0,,
RmlnaHROb2RlOjM4NjQx,STRAIGHT,0,103,1926.0,,
RmlnaHROb2RlOjM4NjQy,STRAIGHT,0,-264,14332.0,,
RmlnaHROb2RlOjM4NjQy,STRAIGHT,0,196,35181.0,,
RmlnaHROb2RlOjM5MDg0,STRAIGHT,0,-130,29335.0,,
RmlnaHROb2RlOjM5MDg0,STRAIGHT,0,-104,35615.0,,
RmlnaHROb2RlOjM4ODQz,STRAIGHT,0,160,12925.0,,
RmlnaHROb2RlOjM4ODQz,STRAIGHT,0,-203,30512.0,,
RmlnaHROb2RlOjM4ODMx,STRAIGHT,0,116,12809.0,,
RmlnaHROb2RlOjM4ODMx,STRAIGHT,0,-155,1248.0,,
RmlnaHROb2RlOjM5MTEx,STRAIGHT,0,170,1608.0,,
RmlnaHROb2RlOjM5MTEx,STRAIGHT,0,-225,1965.0,,
RmlnaHROb2RlOjM5MTEy,STRAIGHT,0,152,41429.0,,
RmlnaHROb2RlOjM5MTEy,STRAIGHT,0,-194,10592.0,,
RmlnaHROb2RlOjM5Mjg4,STRAIGHT,0,154,14700.0,,
RmlnaHROb2RlOjM5Mjg4,STRAIGHT,0,-185,23030.0,,
RmlnaHROb2RlOjM5Mjg3,STRAIGHT,0,188,2601.0,,
RmlnaHROb2RlOjM5Mjg3,STRAIGHT,0,-275,16223.0,,
RmlnaHROb2RlOjM5Mjg2,STRAIGHT,0,196,11897.0,,
RmlnaHROb2RlOjM5Mjg2,STRAIGHT,0,-239,963.0,,
RmlnaHROb2RlOjM5MzYx,STRAIGHT,0,-271,8186.0,,
RmlnaHROb2RlOjM5MzYx,STRAIGHT,0,247,2552.0,,
RmlnaHROb2RlOjYyODkz,STRAIGHT,0,115,11931.0,,
RmlnaHROb2RlOjYyODkz,STRAIGHT,0,-147,47298.0,,
RmlnaHROb2RlOjM5NzMz,STRAIGHT,0,136,14700.0,,
RmlnaHROb2RlOjM5NzMz,STRAIGHT,0,-172,23030.0,,
RmlnaHROb2RlOjM5NzQy,STRAIGHT,0,-113,13958.0,,
RmlnaHROb2RlOjM5NzQy,STRAIGHT,0,-108,6902.0,,
RmlnaHROb2RlOjU5MzMz,STRAIGHT,0,114,45129.0,,
