slug,name,wins,losses,draws,division,reach,height,nickname,dob,nationality,social_media
donny-matos,DONNY MATOS,1,0,0,Featherweight,68in / 173cm,1.7018,TERRIER,01/1988,Brazil,https://www.instagram.com/DONY_TERRIER
donovan-desmae,DONOVAN DESMAE ,0,1,0,Middleweight,,1.8,,12/1991,Spain,https://www.instagram.com/donovanvegasmma/
donterry-woods,Donterry Woods,0,0,0,Cruiserweight,,1.88,Troublesome,08/1984,United States of America,https://twitter.com/troublesomemma; https://www.facebook.com/Asmodeus1776/
dorian-long,DORIAN LONG,1,0,0,Lightweight,,,,,United States of America,
doug-coldred-coltrane,DOUG 'COLDRED' COLTRANE,4,2,0,Middleweight,79in / 200cm,73,COLDRED,04/1986,United States of America,https://www.instagram.com/coldred_coltrane_/
drake-heitfield,Drake Heitfield,0,1,0,Bantamweight,,69,,04/1992,United States of America,
drako-rodriguez,DRAKO RODRIGUEZ,2,1,0,Featherweight,70.5in / 179cm,1.7526,THE GREAT DRAKOLINI,06/1996,United States of America,https://www.instagram.com/drakorodriguez/; https://www.facebook.com/drako.rodriguez.35
dre-coles,Dre Coles,1,0,0,Bantamweight,,1.68,,,,
drew-lipton,Drew Lipton,0,4,0,Light Heavyweight,70 in / 177.8cm,67,The Spider Monkey,10/1988,United States of America,
drew-nolan,DREW NOLAN,1,3,0,Cruiserweight,68in / 173cm,70,HARD BODY,07/1990,United States of America,https://www.instagram.com/drew.hardbody.nolan/?img_index=1
drew-stuve,DREW STUVE,4,0,0,Middleweight,74in / 188cm,1.8796,WILD BOY,12/1996,Canada,https://www.instagram.com/stuvoboxing/
duke-sensley,Duke Sensley,2,0,0,Light Heavyweight,80in / 203cm,1.93,The Nuke,07/1995,United States of America,https://www.instagram.com/duke.gon.nuke.em/
dusan-radovic,DUSAN RADOVIC,0,1,0,Middleweight,,1.81,MECAVA,01/1999,Serbia,https://www.instagram.com/dusan_radovic_/
dustin-garrett,DUSTIN GARRETT,0,1,0,Featherweight,68in / 173cm,1.6764,ELMO,08/1997,United States of America,
dustin-long,Dustin Long,0,1,0,Cruiserweight,,1.96,,08/1982,United States of America,
dustin-pague,DUSTIN PAGUE,6,2,0,Welterweight,73.5in / 186cm,69,THE DISCIPLE,08/1987,United States of America,https://www.instagram.com/dustinpague/?hl=en
dustin-rabiega,Dustin Rabiega,3,2,0,Cruiserweight,,,,,,
dustin-thompson,DUSTIN THOMPSON,0,0,0,Welterweight,,,,,,
dusty-sparks,DUSTY SPARKS,0,2,0,Lightweight,70in / 178cm,1.8034,,11/1986,United States of America,https://www.instagram.com/p/BtpPiPOA5WZ/
dylan-felion,DYLAN FELION,0,1,0,Featherweight,74in / 188cm,75,THE AFRO SAMURAI,12/1997,United States of America,https://www.instagram.com/dylan_felion/
dylan-schulte,DYLAN SCHULTE,3,1,0,Featherweight,72in / 183cm,65,THE VILLAIN,03/1996,United States of America,https://www.instagram.com/SCHULTE_DYLAN1
eddie-alvarez,EDDIE ALVAREZ,1,2,0,Lightweight,69in / 175cm,1.76,THE UNDERGROUND KING,01/1984,United States of America,https://www.instagram.com/ealvarezfight/; https://www.facebook.com/Eddie-Alvarez-34838112296/
eddie-hoch,Eddie Hoch,2,1,0,Lightweight,68in / 172.72cm,69,,,United States of America,
edgard-plazaola,EDGARD PLAZAOLA,6,0,0,Featherweight,70in / 178cm,68,THE DREAM KILLER,03/1988,Nicaragua,https://www.instagram.com/the_dreamkill3r/
eduardo-concepcion,EDUARDO CONCEPCION,2,1,0,Cruiserweight,72 in/182.88 cm,71,,03/1990,Cuba,https://www.instagram.com/eduardoconcepcion_/
eduardo-meneses,EDUARDO MENESES,0,1,0,Bantamweight,67in / 170cm,1.651,CHINO,05/2005,Mexico,https://www.instagram.com/EDUARDO.M.HERNANDEZ.165
eduardo-peralta,EDUARDO PERALTA,2,3,0,Middleweight,68in / 173cm,66,,02/1994,Mexico,https://www.instagram.com/EDPERALTA9
eduardo-suarez,EDUARDO SUAREZ,0,0,0,Featherweight,,,,,,
elijah-harris,ELIJAH HARRIS,2,2,0,Featherweight,73in / 185 cm,67,BUFFALO SOLDIER,10/1995,United States of America,https://www.instagram.com/thebuffalosoldier145
elijah-jamerson,ELIJAH JAMERSON,1,0,0,Bantamweight,71in / 180cm,1.7272,SNAPDRAGON,05/1994,United States of America,https://www.instagram.com/elijamzmusic
ellis-shepherd,ELLIS SHEPHERD,3,1,0,Lightweight,64in / 163cm,1.778,THE GRAFTER,,United Kingdom,https://www.instagram.com/ellis_bkfcshepherd1/
elnur-suleymanov,ELNUR SULEYMANOV,1,0,0,Middleweight,175.26,1.7526,ZAVOEVATEL,,Azerbaijan,https://www.instagram.com/ELNUR_ZAVOEVATEL
elvin-brito,ELVIN BRITO,7,7,0,Welterweight,70in / 177cm,68,EL BANDITO,07/1985,Puerto Rico,https://www.instagram.com/bare_knuckle_bandido/; https://www.facebook.com/ElBandidoMMA/
emeka-ifekandu,EMEKA IFEKANDU,2,0,0,Lightweight,75.5in / 192cm,68,,08/1986,United States of America,https://www.instagram.com/ifekanduemeka/?hl=en
emil-enchev,EMIL ENCHEV,1,0,0,Light Heavyweight,,1.9,,06/2001,Bulgaria,https://www.instagram.com/emil_m_enchev_the_gladiator/
emircan-gulsen,EMIRCAN GULSEN,1,0,0,Welterweight,,,,09/2001,Turkey,https://www.instagram.com/emircan.boxing/
emma-murray,EMMA MURRAY,0,2,0,Strawweight,61in / 156cm,62,EAZY E,07/2004,United States of America,https://www.instagram.com/murr.emma
emmanuel-rivero,EMMANUEL RIVERO,0,0,0,Featherweight,,,,,Argentina,
emre-akbas,EMRE AKBAS,1,0,0,Light Heavyweight,,1.87,,04/2001,Turkey,https://www.instagram.com/akbasemre1/
enkhtur-bayartsogt,ENKHTUR BAYARTSOGT,1,0,0,Welterweight,68in / 173cm,1.778,ET BOSS WOLF,01/1992,,
enzo-tobbia,ENZO TOBBIA,1,1,0,Light Heavyweight,72in / 183cm,1.7526,OSSO DURO,03/1991,Italy,
eric-dodson,ERIC DODSON,4,2,0,Featherweight,67in / 170cm,66,THUGGY BEAR,05/1986,United States of America,https://www.instagram.com/x.thuggybear.x/
eric-prindle,Eric Prindle,0,1,0,Heavyweight,79,1.94,American Soldier,08/1976,United States of America,
eric-soto,ERIC SOTO,0,0,0,Heavyweight,,,,,,
eric-thompson,Eric Thompson,0,3,0,Middleweight,,67,The Genetic Freak,10/1985,United States of America,
eric-westbury,ERIC WESTBURY,0,1,0,Light Heavyweight,75in / 191cm,1.8288,,01/1992,United States of America,https://www.instagram.com/EJWESTBURY
erick-lozano,ERICK LOZANO,3,6,0,Cruiserweight,71in / 180cm,70,EL TRAVIESO,04/1984,United States of America,https://www.instagram.com/elozano1233/; https://www.facebook.com/Erick.el.Travieso.Lozano
erick-murray,Erick Murray,1,1,0,Cruiserweight,,76,,,United States of America,
erik-leander,Erik Leander,0,1,0,Heavyweight,,,,12/1978,United States of America,
erik-lopez,ERIC LOPEZ,3,4,0,Middleweight,69i / 175cm,67,LIGHTS OUT,10/1996,United States of America,
erkan-varol,Erkan Varol,0,1,0,Lightweight,,,,06/1981,Turkey,
ermek-kumachaev,Ermek Kumachaev,0,1,0,,,71,,,Kyrgyzstan,
ernesto-papa,ERNESTO PAPA,2,0,0,Cruiserweight,77in / 196cm,1.8288,BIG 20,03/1983,Italy,https://www.instagram.com/PAPA_BKB_BIG_20_
ernesto-suarez,ERNESTO SUAREZ,2,0,0,Bantamweight,66in / 168cm,1.7018,LAS MANOS BENDITAS,11/1994,Cuba,https://www.instagram.com/_lasmanosbenditas_
esteban-rodriguez,ESTEBAN RODRIGUEZ,6,1,0,Heavyweight,81in / 206cm,76,MOHAWK,01/1992,United States of America,https://www.facebook.com/esteban.rodriguez.7399786
estevan-payan,Estevan Payan,1,1,0,Lightweight,72,1.78,EL TERRIBLE,04/1982,United States of America,
ethan-trout,ETHAN TROUT,0,0,0,Welterweight,,,,,,
evgenii-kurdanov,EVGENII KURDANOV,5,3,0,Welterweight,69in / 175cm,1.71,THE SAILOR,07/1994,Russia,https://www.instagram.com/kurdanovcoach/
ezatullah-kakar,Ezatullah Kakar,1,0,0,Heavyweight,,72,,05/2000,Pakistan,
fabiano-hawthorne,Fabiano Hawthorne,1,1,0,Welterweight,,70,,07/1982,Brazil,https://www.facebook.com/fabiano.hawthorne
fabio-maldonado,FABIO MALDONADO,0,1,0,Cruiserweight,75in / 190cm,1.8542,,,Brazil,https://www.instagram.com/FABIO_MALDO
famez,FAMEZ,4,6,0,Welterweight,67.5in / 171cm,67,FAMEZ,10/1994,United States of America,https://www.instagram.com/therealfamezbackup/
fani-peloumpi,FANI PELOUMPI,1,1,0,Strawweight,"65""",64,,04/1984,Greece,https://www.facebook.com/fani.peloumpi
fatu-tuitasi,FATU TUITASI,0,1,0,Welterweight,,,,,,
felipe-chavez,FELIPE CHAVEZ,3,1,0,Welterweight,73in / 185cm,70,FLIP,09/1983,United States of America,https://www.instagram.com/felipechavez669/?hl=en
felipe-maia,FELIPE MAIA,2,1,0,Lightweight,"68.50""",1.75,PRAGUINHA,04/1989,Brazil,https://www.instagram.com/praguinhamma/
felony-charles-bennett,Felony Charles Bennett,1,4,0,Featherweight,,67,Felony,11/1979,United States of America,https://www.instagram.com/bennet_charles/
fernando-gonzalez,FERNANDO GONZALEZ,1,1,0,Light Heavyweight,68in / 173cm,69,THE MENIFEE MANIAC,04/1984,United States of America,https://www.instagram.com/menifeemaniac/
fetongi-tuinauvai,FETONGI TUINAUVAI,1,0,0,Heavyweight,73in / 183cm,1.8034,TONGAN TEE,08/1989,Australia,https://www.instagram.com/teedupfitness_
florian-de-la-motte,FLORIAN DE LA MOTTE,0,1,0,Heavyweight,,,,,,
florin-lupu,Florin Lupu,0,1,0,Bantamweight,"69""",1.6,,01/1980,Romania,https://www.instagram.com/florin_lupu/
fran-suarez,FRAN SUAREZ,0,2,0,Lightweight,70in / 178cm,1.7526,MI VIDA LOCA,06/1986,Spain,https://www.instagram.com/suarez.fsp/
francesco-ricchi,FRANCESCO RICCHI,7,3,0,Light Heavyweight,79in / 200.66cm,75,,02/1994,Italy,
franco-tenaglia,FRANCO TENAGLIA,5,1,0,Welterweight,74in / 188cm,69,,09/1996,Argentina,https://www.instagram.com/fran_tenaglia/
frank-lester,FRANK LESTER,0,1,0,Cruiserweight,72in / 183cm,1.8288,THE TANK,03/1985,United States of America,
frank-tate,Frank Tate,2,2,0,Heavyweight,83in / 210.82cm,76,,04/1976,United States of America,
frankie-gavin,FRANKIE GAVIN,0,1,0,Welterweight,,1.7272,,,,
frankie-shughart,Frankie Shughart,0,2,0,Middleweight,,1.91,Four Fingers,10/1989,United States of America,
frankie-solomon,FRANKIE SOLOMON JR,1,0,0,Middleweight,78in / 198cm,1.8034,MR. FUNDAMENTALZ,07/1989,United States of America,https://www.instagram.com/MR._FUNDAMENTALZ_
fred-pierce,Fred Pierce,2,4,0,Middleweight,69.0 in / 175cm,1.83,,,United States of America,
fred-sikking,FRED SIKKING ,0,1,0,Cruiserweight,74in / 178cm,1.8796,THE PIRANHA,10/1980,,https://www.instagram.com/fred_sikking
freddy-masabo,FREDDY MASABO,3,1,0,Featherweight,74 in,1.77,,,Cuba,https://www.instagram.com/spidermanfreddy/
freddy-sandoval,FREDDY SANDOVAL,0,1,0,Light Heavyweight,74in / 188cm,69,BIG SEXY,05/1985,United States of America,https://www.instagram.com/p/ClXTC24Jz59/?img_index=1
fuad-tarverdi,FUAD TARVERDI,0,1,0,Bantamweight,66in / 167cm,1.7018,THE FLASH,,Azerbaijan,https://www.instagram.com/TARVERDI.FUAD
gabe-sacchetti,Gabe Sacchetti,0,2,0,Men Flyweight,,66,,,United States of America,
gabriel-brown,Gabriel Brown,0,1,0,Cruiserweight,74 in/188 cm,74,,01/1996,United States of America,
gabriel-freyre,GABRIEL FREYRE,2,2,0,Featherweight,72in / 183cm,1.6764,WARRIOR OF GOD,06/1992,United States of America,https://www.instagram.com/FREYREWOG
gabriel-gonzaga,Gabriel Gonzaga,1,0,0,Heavyweight,76,1.88,Napao,05/1979,,
gabriel-hernandez,GABRIEL HERNANDEZ,1,0,0,Men Flyweight,,1.7272,THE WOLFMAN,,United States of America,
gabriel-mota,GABRIEL MOTA,2,3,0,Cruiserweight,72in / 183cm,1.778,MANO DE PIEDRA,04/1992,United States of America,https://www.instagram.com/manosdepiedra92/
gabrielle-roman,GABRIELLE ROMAN,2,3,0,Women Flyweight,64in / 163cm,1.6002,,01/1992,United States of America,https://www.instagram.com/lafamilia_roman/
galactika-mejia,LADDY MEJIA,1,1,0,Strawweight,60.5in / 153cm,1.5748,GALACTIKA,03/1987,Peru,https://www.instagram.com/galactikgirl/; https://www.facebook.com/VALERIAGALACTIKA/
gary-balletto-iii,GARY BALLETTO III,3,0,0,Light Heavyweight,70in / 178cm,1.8034,BATMAN,01/1995,United States of America,https://www.instagram.com/batmanballetto/
gary-fox,GARY FOX,4,3,0,Welterweight,67in / 170cm,1.7018,,11/1985,United Kingdom,https://www.instagram.com/garyfoxbkfc.lufc/
gary-slator,GARY SLATOR,1,1,0,Heavyweight,75in / 191cm,1.8288,THE GRIM REAPER,05/2000,United Kingdom,
gaston-reyno,Gaston Reyno,3,0,0,Lightweight,69.5in / 177cm,1.83,Tonga,11/1986,Uruguay,https://www.instagram.com/gastonreyno; https://www.facebook.com/gastontongareyno
gaz-corran,GAZ CORRAN,1,0,0,Heavyweight,71in / 180cm,1.778,THE CRUSHER,03/1981,United Kingdom,
geane-herrera,Geane Herrera,1,1,0,Men Flyweight,65.5in / 165.1cm,65,The Revolutionary,05/1990,United States of America,https://www.facebook.com/geaneh
gee-perez,GEE PEREZ,6,2,0,Men Flyweight,76in / 193cm,68,THE CUTMAN,08/1988,United States of America,https://www.instagram.com/bkfc_the_cutman/
gene-perez,Gene Perez,0,2,0,Featherweight,,64,,07/1990,United States of America,https://www.facebook.com/gene.perez2
gentleman-jack,Gentleman Jack,1,0,0,Featherweight,,68,Gentleman,,,
george-buckell,George Buckell,0,1,0,Lightweight,,,,,,
george-thorpe,GEORGE THORPE,2,1,0,Middleweight,79in / 200cm,1.8796,GORGEOUS,07/1996,United Kingdom,https://www.instagram.com/georgethorpebkfc/
georgi-valentinov,Georgi Valentinov,1,0,0,Middleweight,187 cm / 73.6 in,1.778,,04/1993,Bulgaria,https://www.instagram.com/georgi.valentinov_official/?hl=en
geronimo-dos-santos,GERONIMO DOS SANTOS,1,0,0,Heavyweight,80.5in / 204cm,1.9304,MONDRAGON,08/1980,Brazil,https://www.instagram.com/MONDRAGON_MONSTROMMA
ghost-mcfarlane,GHOST MCFARLANE,1,1,0,Heavyweight,79in / 201cm,1.9304,,03/1998,United Kingdom,https://www.instagram.com/jaycarriganmcfarlane
gilbert-patrocinio,Gilbert Patrocinio,2,0,0,Welterweight,,,Tubaraobranco,08/1991,Brazil,
gilberto-aguilar,Gilberto Aguilar,0,4,0,Lightweight,71,68,El Azteca,05/1980,Mexico,
gilberto-fuentes,GILBERTO FUENTES,1,0,0,Cruiserweight,,,,,,
giovanni-carpentieri,GIOVANNI CARPENTIERI,0,1,0,Light Heavyweight,74in / 188cm,1.778,MAMBA,03/1990,Italy,https://www.instagram.com/giovanni_carpentieri_bkb/
glendel-futrell,GLENDEL FUTRELL,0,4,0,Featherweight,74 in/188 cm,72,THE BERSERKER,07/1990,United States of America,https://www.instagram.com/bareknuckle_berserker007/; https://www.facebook.com/glendel007/
gligor-stojanov,Gligor Stojanov,0,0,0,Welterweight,,,,,Switzerland,
gorichkhan-rigi,GORICHKHAN RIGI,0,1,0,Light Heavyweight,,1.87,,06/2001,,https://www.instagram.com/gorichkhan/
gorjan-gogo-slaveski,Gorjan Slaveski,7,1,0,Welterweight,71 in,69,Braveheart,05/1994,Macedonia,https://www.instagram.com/gogo_braveheart
goscha,Goscha,0,1,0,Light Heavyweight,,,,,,
grady-wall,GRADY WALL,0,1,0,Lightweight,70in / 178cm,1.7272,G,06/1999,United States of America,https://www.instagram.com/gwall_1999/
greg-bono,Greg Bono,0,1,0,Featherweight,67.5in / 171cm,66,,,United States of America,https://www.instagram.com/rockhard_bono/
greg-hardy-jr,Greg Hardy Jr,0,1,0,Heavyweight,80.5in / 204cm,1.96,The Prince of War,07/1988,United States of America,https://www.instagram.com/greghardyjr/
greg-stratton,GREG STRATTON,0,0,0,Middleweight,,,,,,
gregoris-cisneros,GREGORIS CISNEROS,0,0,0,Welterweight,,,,,,
grigor-saruhanyan,GRIGOR SARUHANYAN,0,0,0,Middleweight,,,,,,
guilherme-vianna,GUILHERME VIANA,2,1,0,Heavyweight,78in / 198cm,1.9304,,05/1986,Brazil,https://www.instagram.com/gplay203
gustaf-cedermalm,Gustaf Cedermalm,1,1,0,Featherweight,"72""",1.778,Forehead Forward,01/1986,Sweden,
gustavo-balart,GUSTAVO BALART,0,0,0,Men Flyweight,,,,,,
gustavo-cuban-assassin-trujillo,Gustavo 'Cuban Assassin' Trujillo,8,0,0,Heavyweight,78.5 in/199.39cm,76,Cuban Assassin,02/1993,Cuba,https://www.instagram.com/cubanassassin_mma/
guto-inocente,GUTO INOCENTE,0,1,0,Heavyweight,,,,,,
gzim-selmani,GZIM SELMANI,1,0,0,Heavyweight,80in / 203cm,1.905,THE ALBANIAN PSYCHO,06/1994,,https://www.instagram.com/albanianpsycho/
haim-gozali,Haim Gozali,2,0,0,Middleweight,72in / 183cm,71,,05/1973,,
hannah-rankin,HANNAH RANKIN,1,1,0,Women Featherweight,70in / 178cm,1.7526,THE CLASSICAL WARRIOR,07/1999,United Kingdom,https://www.instagram.com/team_rankin/
hannah-rosario,Hannah Rosario,0,0,0,Featherweight,,1.62,,08/1990,United States of America,
hannah-the-hurricane-guy,Hannah 'The Hurricane' Guy,0,1,0,Women Flyweight,63 in / 106.02cm,64,The Hurricane,05/1995,United States of America,https://www.instagram.com/hannahguymma/; https://www.facebook.com/hannahjguy
harris-stephenson,Harris Stephenson,5,3,0,Light Heavyweight,74 in/188 cm,74,Sandman,03/1989,United States of America,
harrison-aiken,HARRISON AIKEN,3,5,0,Light Heavyweight,74in / 188cm,70,THE HEADHUNTER,07/1989,United States of America,https://www.instagram.com/theheadhunterbkfc/
harry-cain,HARRY CAIN,0,1,0,Featherweight,,,,,,
harry-cruz,Harry Cruz,0,1,0,,,1.75,,04/1995,Puerto Rico,
harry-gigliotti,HARRY GIGLIOTTI,1,0,0,Featherweight,72in / 183cm,1.778,THE HITMAN,,United States of America,https://www.instagram.com/thehitmangigliotti
hasan-al-ghanim,HASAN AL-GHANIM,4,0,0,Lightweight,69in / 175cm,1.651,HUNGRY,01/1995,Canada,https://www.instagram.com/hungryhasan/
hassan-yousefi,HASSAN YOUSEFI,1,0,0,Heavyweight,77in / 195cm,1.905,,,,
hayden-brown,HAYDEN BROWN,0,1,0,Heavyweight,73in / 185cm,1.8288,THE BERSERKER,03/1997,United States of America,https://www.instagram.com/BERSERKER_BTOWN
hayden-sherriff,Hayden Sherriff,2,4,0,Featherweight,,,,,,
haze-hepi,HAZE HEPI,3,1,0,Heavyweight,81in / 206cm,1.905,THE HUNTSMAN,03/1991,New Zealand,https://www.instagram.com/hazethehuntsman
haze-wilson,HAZE WILSON,4,2,0,Heavyweight,74in / 188cm,1.8288,THE HOOLIGAN,11/1989,United States of America,https://www.instagram.com/HAZE_WILSON
hazel-naheinaena,HAZEL NAHIENAENA,1,0,0,,68in / 173cm,1.7018,,09/1995,United States of America,
hector-lightning-lombard,Héctor 'Lightning' Lombard,3,1,0,Cruiserweight,71in / 180cm,1.8,Lightning,02/1978,Cuba,https://www.instagram.com/hectorlombard/
heinrich-coorssen,Heinrich Coorssen,1,0,0,Welterweight,,,,,Paraguay,
helen-peralta,Helen Peralta,3,0,0,Women Flyweight,65,1.55,Iansa,07/1988,,
henry-williams,Henry Williams,5,2,0,Lightweight,,,Pit Bull,09/1992,United States of America,
herbert-morgan,Herbert Morgan,0,1,0,Cruiserweight,,1.78,Coach Killa,10/1988,United States of America,
houston-the-assassin-alexander,HOUSTON 'The ASSASSIN' ALEXANDER,5,0,0,Heavyweight,,72,The ASSASSIN,03/1972,United States of America,https://www.instagram.com/houstonassassin/?hl=en
howard-davis,HOWARD DAVIS,8,4,0,Lightweight,77in / 195.58,74,HD,03/1995,United States of America,https://www.instagram.com/nhhd876/
hunor-horvath,HUNOR HORVATH,0,0,0,Featherweight,,,,,,
hunter-ioane,HUNTER IOANE,1,0,0,Lightweight,70in / 178cm,1.7526,COCO SAMOA,07/1995,Australia,
hynek-hospodarsky,Hynek Hospodarsky,0,1,0,Lightweight,,1.7272,Shelby,01/2002,Czech Republic,
idrees-wasi,IDREES WASI,1,4,0,Cruiserweight,72in / 183cm,72,,04/1992,United States of America,https://www.instagram.com/idreeswasi/
iliyan-adrianov,ILIYAN ADRIANOV,1,0,0,Featherweight,73in / 185cm,1.83,,08/2002,Bulgaria,https://www.instagram.com/iliyan_adrianov/
ilyas-sadykov,Ilyas Sadykov,0,1,0,Middleweight,,1.85,Bad Boy,,Kazakhstan,https://www.instagram.com/ilyas_mmapro/
iman-williams,IMAN WILLIAMS,2,0,0,Cruiserweight,77in / 195cm,1.8796,STROSS,09/1993,United States of America,https://www.instagram.com/only1stross
ira-johnson,IRA JOHNSON,0,1,0,Lightweight,69in / 175cm,69,,01/1991,United States of America,https://www.instagram.com/IRAJOHNSON633
irakli-ghvinjilia,IRAKLI GHVINJILIA,0,1,0,Lightweight,70n / 178m,1.778,MAMLUK,04/1996,,https://www.instagram.com/irakli_ghvinjilia/
irineu-beato-costa-junior,Irineu Beato Costa Junior,0,1,0,,,1.92,NEGRO TEY,08/1980,Brazil,
isaac-doolittle,ISAAC DOOLITTLE,4,2,0,Light Heavyweight,67in / 170cm,70,THE HONEY BADGER,12/1990,United States of America,https://www.instagram.com/isaac_doolittle/
isaac-matamoros,ISAAC MATAMOROS,0,0,0,Featherweight,,,,,,
isaac-vallie-flagg,Isaac Vallie-Flagg,3,2,0,Lightweight,70 in / 177.8cm,1.73,,04/1978,United States of America,
isaiah-williams,ISAIAH WILLIAMS,0,1,0,Welterweight,73in / 185cm,1.778,PROFOUND,07/1992,United States of America,https://www.instagram.com/izzybkbprofound
ishiah-carson,ISHIAH CARSON,1,3,0,Featherweight,73in / 185cm,1.8034,HILL COUNTY STRANGLER,10/1994,United States of America,https://www.instagram.com/ishiahcarson
islam-sizbulatov,ISLAM SIZBULATOV,1,0,0,Lightweight,71in / 180cm,1.7526,,,Austria,https://www.instagram.com/ISLAMMA_91
ismail-israilov,ISMAIL ISRAILOV,1,0,0,Middleweight,73.5in / 186cm,1.8288,BERTI,06/2000,Russia,
israel-rodriguez,ISRAEL RODRIGUEZ,0,1,0,Welterweight,72in / 183cm,1.778,EL ROOSTER,06/1998,United States of America,
issam-khaoui,ISSAM KHAOUI,1,0,0,Featherweight,,1.77,EL MAROC,12/2001,Germany,
itso-babulaidze,ITSO BABULAIDZE,1,0,0,Middleweight,73in / 185cm,72,,04/1993,,https://www.instagram.com/itsobabulaidze.mma/
ivan-nunez,IVAN NUÑEZ,0,0,0,Bantamweight,,,,,,
ivan-rocka,Ivan Rocka,0,1,0,Bantamweight,,,Ivan Rocka,,United States of America,
ivana-coleman,Ivana Coleman,0,1,0,Featherweight,,1.66,Mardi Gras Mamba,,,
jack-cullen,JACK CULLEN,2,0,0,Middleweight,78in / 198cm,1.905,,11/1993,United Kingdom,https://www.instagram.com/jackpcullen/?hl=en
jack-culshaw,JACK CULSHAW,1,0,0,Lightweight,72in / 183cm,1.8288,THE YORKSHIRE STALLION,05/1998,United Kingdom,https://www.instagram.com/p/C6wtaUKoSpB/
jack-draper,JACK DRAPER,3,1,0,Heavyweight,74in / 188cm,1.905,THE SPARTAN,04/1996,United Kingdom,https://www.instagram.com/thespartan497/
jack-dugdale,JACK DUGDALE,4,1,0,Welterweight,,1.7272,,,,
jack-fincham,JACK FINCHAM,0,0,0,Light Heavyweight,73in / 185cm,1.8288,,09/1992,United Kingdom,https://www.instagram.com/jack_charlesf
jack-grady,JACK GRADY,1,4,0,Bantamweight,67in / 170cm,69,SHADY,11/1986,United States of America,https://www.instagram.com/JACKSHADYGRADY
jack-lawless-freriks,Jack 'Lawless' Freriks,1,1,0,Middleweight,74 in/188 cm,75,Lawless,07/1996,United States of America,
jack-willoughby,Jack Willoughby,0,1,0,Lightweight,,1.91,The Ripper,03/1993,United States of America,https://www.instagram.com/jackwilloughby/
jackson-whitley,JACKSON WHITLEY,0,0,0,Lightweight,,,,,,
jacob-akin,JACOB AKIN,1,1,0,Bantamweight,69in / 175cm,66,THE ROSEDALE STRANGLER,06/1985,United States of America,https://www.facebook.com/JacobRosedaleStranglerAkin/
jacob-brunelle,Jacob Brunelle,0,1,0,Lightweight,,1.73,The Caveman,10/1977,United States of America,https://www.instagram.com/theoneandonlycaveman/?hl=en
jacob-kreitel,JACOB KREITEL,0,3,0,Welterweight,,74,,,United States of America,https://www.facebook.com/jacob.kreitel.9
jade-masson-wong,JADE MASSON-WONG,4,2,0,Women Flyweight,60in / 152.5cm,64,,10/1992,Canada,https://www.instagram.com/jade.masson.wong/
jafar-fortt-knox,JA'FAR FORTT 'KNOX',3,2,0,Welterweight,74in / 188cm,71,KNOX,06/1990,United States of America,https://www.instagram.com/jafar_bkfc/
jair-roberto,JAIR ROBERTO,0,0,0,Lightweight,,,,,,
jairo-santos,JAIRO SANTOS,0,0,0,Featherweight,,,,,,
jake-craig,JAKE CRAIG,0,1,0,Cruiserweight,75 in / 191cm,1.8542,BRONSON,11/1991,Canada,https://www.instagram.com/bronsoncraigmma/
jake-heffernan,JAKE HEFFERNAN,1,0,0,Lightweight,72in / 183,1.7526,THE GRINDER,11/1989,United States of America,https://www.instagram.com/JAKEGBTW
jake-lindsey,JAKE LINDSEY,5,1,0,Middleweight,72.5 in / 181.61cm,71,GYPSY,06/1986,United States of America,https://www.instagram.com/gypsy_jake_lindsey/
jake-young,Jake Young,1,3,0,Welterweight,,72,,,,
jakkaphop-rattanamangsang,Jakkaphop Rattanamangsang,1,0,0,Lightweight,,,Phop Perfect,,Thailand,
jakub-kosicki,JAKUB KOSICKI,0,1,0,Cruiserweight,68in / 173cm,1.778,KOSA,05/1995,United Kingdom,https://www.instagram.com/j.kosicki
jamel-herring,JAMEL HERRING,1,0,0,Bantamweight,71n / 180cm,1.778,SEMPR FI,10/1985,,
james-brown,JAMES BROWN,5,1,0,Featherweight,77in / 190cm,1.88,GET DOWN,09/1993,United States of America,https://www.instagram.com/getdownjdbrown/; https://www.facebook.com/james.j.brown.585
james-dalzell,JAMES DALZELL,0,1,0,Lightweight,72in / 183cm,1.7526,Penetanguishene Wolverine,,,
james-degale,JAMES DEGALE,1,0,0,Light Heavyweight,,1.8288,,09/1986,United Kingdom,https://www.instagram.com/jamesdegale1
james-dennis,JAMES DENNIS,2,2,0,Light Heavyweight,69.5in / 176cm,69,KNUCKLEHEAD,01/1989,United States of America,https://www.instagram.com/jamesknuckleheaddennis/
james-dixon,JAMES DIXON,1,0,0,Light Heavyweight,71in / 180cm,1.7018,LIONHEART,05/1994,United Kingdom,https://www.instagram.com/james.the.lion.heart.dixon/
james-gray,JAMES GRAY,0,1,0,Light Heavyweight,74in / 188cm,1.778,THE DAWG,05/1979,United States of America,
james-lilley,JAMES LILLEY,10,3,0,Lightweight,71in / 180cm,70,LIGHTS OUT,11/1986,United Kingdom,https://www.instagram.com/jameslilley86/; https://www.facebook.com/jameslilley86
james-obrien,JAMES O'BRIEN,0,1,0,Light Heavyweight,,,,,United Kingdom,
james-rodriguez,James Rodriguez,1,0,0,Light Heavyweight,,73,,,United States of America,
