slug,name,wins,losses,draws,division,reach,height,nickname,dob,nationality,social_media
anthony-holmes,ANTHONY HOLMES,5,3,0,Light Heavyweight,70in / 178cm,1.778,THE YORKSHIRE GLADIATOR,01/1985,United Kingdom,https://www.instagram.com/anthony_d_holmes/
anthony-pagan,ANTHONY PAGAN,1,0,0,Lightweight,70in / 178cm,1.7272,,07/2001,United States of America,
anthony-prater,Anthony Prater,0,1,0,Men Flyweight,,71,,,,
anthony-retic,Anthony Retic,2,3,0,Bantamweight,79in / 200.66cm,75,,04/1988,United States of America,
anthony-sanchez,ANTHONY SANCHEZ,1,3,0,Bantamweight,67in / 170cm,67,,07/1991,United States of America,https://www.instagram.com/lil.nidas
anthony-yost,ANTHONY YOST,2,2,0,Men Flyweight,66in / 168cm,1.651,THE DEVIL'S ADVOCATE,09/1993,United States of America,https://www.instagram.com/bareknuckle_tonyy/
anton-larsson,Anton Larsson,0,1,0,Bantamweight,,,,,,
antonio-castillo-jr,ANTONIO CASTILLO JR,0,1,0,Featherweight,70in / 178cm,1.7018,THE MEICAN MUSCLE,02/1987,United States of America,https://www.instagram.com/EL_MEXICANMUSCLE145
antonio-hernandez,Antonio Hernandez,1,0,0,Middleweight,70 in / 177.8cm,71,,,United States of America,
antonio-moscatiello,Antonio Moscatiello,1,0,0,Lightweight,,1.7018,Big Blind Fury,09/1982,Italy,
antonio-silva,Antonio Silva,0,1,0,Heavyweight,82,1.94,Bigfoot,09/1979,,
antwion-mccollough,Antwion McCollough,0,0,0,Bantamweight,,,,,United States of America,
anubhav-verma,Anubhav Verma,0,1,0,Bantamweight,,,Peshwa,06/1996,India,
apisit-sangmuang,Apisit Sangmuang,0,1,0,Featherweight,,,,,Thailand,
apostle-spencer,APOSTLE SPENCER,0,2,0,Welterweight,74in / 188cm,68,,02/1984,United States of America,https://www.instagram.com/apostlepspencer/
arash-mardani,Arash Mardani,1,0,0,,,73,,,Iran,
arbi-chakaev,ARBI CHAKAEV,1,1,0,Heavyweight,72in / 183cm,1.8288,BORZ,10/1990,Austria,https://www.instagram.com/chakaev_arbi/
armando-aj-rodriguez,AJ RODRIGUEZ,3,1,0,Bantamweight,69in / 175cm,70,THE BIGGEST,04/1999,United States of America,https://www.instagram.com/AJTHEBIGGESTRODRIGUEZ
arnold-bomaye-adams,ARNOLD 'BOMAYE' ADAMS,7,5,0,Heavyweight,77.5 in / 1.96 m,75,BOMAYE,07/1985,United States of America,https://www.facebook.com/ArnoldBomayeAdams/
arron-blakey,Arron Blakey,1,0,0,Middleweight,"70""",1.8,,,United Kingdom,https://www.instagram.com/arron_blakey/
art-driscoll,ART DRISCOLL,0,3,0,Middleweight,72in / 183cm,71,BERSERKER,07/1984,United States of America,https://www.instagram.com/theberserkerbkfc/
art-parker,Art Parker,2,3,0,Heavyweight,73in / 185.42cm,74,,03/1993,United States of America,
artem-lobov,Artem Lobov,2,1,0,,65,1.75,The Russian Hammer,08/1986,,
arthur-walcott-ceesay,Arthur Walcott-Ceesay,1,1,0,Lightweight,,69,,09/1982,United States of America,
ash-griffiths,Ash Griffiths,0,5,0,Light Heavyweight,"72""",1.52,,,United Kingdom,
asher-jack,ASHER JACK,1,0,0,Middleweight,70in / 178cm,1.8034,,05/1999,New Zealand,https://www.instagram.com/sonn_y262
ashton-caniglia,ASHTON CANIGLIA,1,1,0,Lightweight,68in / 173cm,1.6764,NO CHANCE,02/1992,United States of America,https://www.instagram.com/nochance1992
aspen-ladd,ASPEN LADD,1,0,0,Women Featherweight,67in / 170cm,1.6764,,03/1995,United States of America,
aubrey-mendonca,AUBREY MENDONCA,1,0,0,Cruiserweight,68in / 173cm,1.7018,MERCILESS,09/1994,,https://www.instagram.com/aubrey_sayvon/
audra-cummings,Audra Cummings,0,2,0,Women Flyweight,,62,,,,
austin-levine,Austin Levine,0,1,0,Heavyweight,75 in / 190.5 cm,1.83,The Machine,02/1994,United States of America,
austin-lewis,AUSTIN LEWIS,1,2,0,Men Flyweight,72in / 183cm,66,THE ANIMAL,03/1994,United States of America,https://www.instagram.com/austinlewismma
austin-peterson,AUSTIN PETERSON,0,2,0,Welterweight,68in / 173cm,1.7272,CRAY EYES,05/1987,United States of America,https://www.instagram.com/austincrazyeyes
austin-trout,AUSTIN TROUT,5,0,0,Lightweight,72in / 183cm,70,NO DOUBT,09/1985,United States of America,https://www.instagram.com/nodoubttrout/
axel-birbes,Axel Birbes,0,1,0,Welterweight,"72""",1.82,,,,https://www.instagram.com/axel_wisigoth/
bakhtyor-kudratov,BAKHTYOR KUDRATOV,0,1,0,Lightweight,70in / 178cm,1.7526,BAHA THE BARBARIAN,04/1994,Uzbekistan,
bartek-kanabey,BARTEK KANABEY,4,3,0,Featherweight,78in / 198cm,1.7526,THE POLISH PLOUGH,06/1997,United Kingdom,https://www.instagram.com/bkb_thepolishplough/
bartlomiej-krol,BARTLOMIEJ KROL,5,2,0,Light Heavyweight,69in / 175cm,1.778,THE POLISH KING,10/1987,Poland,https://www.instagram.com/krolbartlomiej/
bear-hill,BEAR HILL,2,1,0,Heavyweight,74in / 188cm,1.8796,THE LAST BARBARIAN,06/1993,United States of America,
bec-rawlings,BEC RAWLINGS,4,3,0,Women Flyweight,64.5in / 164cm,66,ROWDY,02/1989,Australia,https://www.instagram.com/rowdybec/; https://www.facebook.com/rowdybec
bekhzod-usmonov,BEKHZOD USMONOV,1,1,0,Featherweight,,1.7,LION,08/1995,Tajikistan,https://www.instagram.com/bekhzod__usmonov/
ben-bonner,BEN BONNER,5,2,0,Lightweight,65in / 165cm,1.778,THE BOMBER,11/1990,United Kingdom,https://www.instagram.com/benbonnerr/
ben-bradley,Ben Bradley,0,1,0,Lightweight,,,,,,
ben-davis,BEN DAVIS,0,1,0,Lightweight,69in / 175cm,1.7526,THE BANE,10/1999,United States of America,https://www.instagram.com/benthebanedavis/
ben-hatchett,Ben Hatchett,3,2,0,Featherweight,,,,,,
ben-jacobsen,BEN JACOBSEN,0,1,0,Welterweight,,73,,,,
ben-moa,BEN MOA,2,0,0,Heavyweight,81in / 206cm,75,TONGAN NIGHTMARE,04/1981,United States of America,https://www.instagram.com/BENMOA4
ben-robinson,BEN ROBINSON,0,1,0,Cruiserweight,74in / 188cm,1.8288,DANGEROUS GENTLEMAN,05/1989,United States of America,https://www.instagram.com/BENJITSU89
ben-rothwell,BEN ROTHWELL,4,1,0,Heavyweight,81in / 206cm,76,,10/1981,United States of America,https://www.instagram.com/rothwellfighter/
benjamas-phakra,Benjamas Phakra,0,1,0,Women Flyweight,,62,รินPour,08/1988,Thailand,
benjamin-lowe,BENJAMIN LOWE,0,2,0,Light Heavyweight,76in / 193cm,1.8796,THE BUTLER,03/1993,United Kingdom,https://www.instagram.com/benlowe_bkfc
beto-saniba,BETO SANIBA,0,1,0,Lightweight,68in / 173cm,1.651,,12/1982,Mexico,https://www.instagram.com/alberto_saniba/tagged/
bill-dieckhoff,Bill Dieckhoff,1,0,0,Heavyweight,74 in/188 cm,1.96,Kill,02/1994,United States of America,
billy-hawthorn,Billy Hawthorn,1,4,0,Heavyweight,,,,,United Kingdom,
billy-martin,Billy Martin,0,0,0,Middleweight,,1.8,The Kid,04/1990,United States of America,
billy-swanson,BILLY SWANSON,0,1,0,Heavyweight,74in / 188cm,1.8542,BILLY SWANSON,03/1994,United States of America,
billy-wagner,Billy Wagner,6,1,0,Welterweight,,72,,02/1993,United States of America,
bj-lawrence,BJ Lawrence,0,0,0,Lightweight,,1.8,,,United States of America,
blaine-warbritton,BLAINE WARBRITTON,2,0,0,Men Flyweight,75in / 191cm,70,NORTH TAPICA BAD BOY,04/1993,United States of America,https://www.instagram.com/BAREKNUCKLEBADBOY
blake-bad-davis,Blake 'BAD' Davis,2,0,0,Light Heavyweight,80.5 in,1.96,BAD,12/1994,United States of America,https://www.instagram.com/baddavis954/
blake-lacaze,BLAKE LACAZE,1,5,0,Middleweight,80.5in  /  204cm,77,BIG BOY,07/1995,United States of America,
boaz-kapua,BOAZ KAPUA,1,0,0,Middleweight,73in / 185cm,1.8288,AL-AHAD,03/2005,Australia,https://www.instagram.com/theonlyboaz
boban-simic,BOBAN SIMIC,0,0,0,Heavyweight,,,,,,
bobby-brents,BOBBY BRENTS,2,4,0,Heavyweight,74in / 188cm,1.7526,ZOMBIE,05/1982,United States of America,https://www.instagram.com/bobzombie265/; https://www.facebook.com/bobby.brents.5
bobby-gunn,Bobby Gunn,1,0,0,,,1.8,THE CELTIC WARRIOR,12/1973,Canada,
bobby-henry,BOBBY HENRY,2,0,0,Welterweight,78in / 198cm,1.905,B3,06/2002,United States of America,https://www.instagram.com/b3osamaa
